id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,F,1.5125,1.1625,0.475,28.2644515,11.0846545,6.59125875,9.2135875,18.0
1,F,1.0625,0.7875,0.3,9.298636,4.86193925,1.871067,3.5436875,11.0
2,F,1.5375,1.175,0.4125,31.51046925,11.63746975,7.01650125,9.922325,14.0
3,I,1.1875,0.9125,0.25,13.53688625,6.56290925,2.5231055,3.21766825,7.0
4,F,1.6125,1.275,0.4,34.26037075,13.5794105,8.80251975,10.8011595,12.0
5,I,0.475,0.275,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,5.0
6,I,1.1375,0.9125,0.3125,16.40018575,7.37087,3.04757125,4.252425,8.0
7,I,0.925,0.6875,0.225,6.56290925,3.061746,1.360776,1.984465,6.0
8,F,1.55,1.1875,0.375,32.375129,12.587178,6.81805475,9.2135875,10.0
9,F,1.6125,1.275,0.4375,35.59279725,13.99047825,8.60407325,12.6155275,19.0
10,M,1.475,1.15,0.4,25.0893075,9.695529,6.13766675,8.6465975,11.0
11,I,0.8875,0.7125,0.225,7.9095105,3.61456125,1.68679525,2.1262125,6.0
12,M,1.4375,1.1,0.3375,25.61377325,10.432616,5.556502,8.50485,9.0
13,M,1.6375,1.3375,0.4125,39.7743485,15.30873,8.2497045,10.19164525,14.0
14,F,1.5625,1.225,0.425,34.79901125,13.947954,8.17883075,10.8011595,10.0
15,F,1.575,1.3125,0.4375,37.32211675,15.592225,7.7394135,11.226402,11.0
16,F,1.375,1.0125,0.2875,18.4555245,8.9867915,4.40834725,5.10291,7.0
17,I,1.025,0.7625,0.225,10.02154825,4.69184225,2.324659,2.83495,7.0
18,F,1.2875,0.95,0.3375,18.313777,7.15824875,4.422522,5.2446575,15.0
19,M,1.375,1.0625,0.425,26.29416125,10.035723,5.499803,8.3631025,13.0
20,M,1.5625,1.3125,0.4,35.98969025,16.51358375,7.767763,9.63883,11.0
21,I,0.45,0.325,0.1375,0.89300925,0.29766975,0.18427175,0.35436875,5.0
22,I,1.1875,0.95,0.3,16.9246515,6.10931725,3.175144,5.10291,11.0
23,F,1.15,0.875,0.2875,13.08329425,6.4920355,2.9199985,3.685435,8.0
24,F,1.6875,1.3125,0.3875,43.26774425,17.13727275,9.525432,11.41067375,10.0
25,M,1.4125,1.125,0.425,28.50542225,11.15552825,6.64795775,8.9300925,14.0
26,F,1.3625,1.0375,0.3375,21.87163925,10.546014,4.932813,5.2446575,8.0
27,M,1.55,1.2375,0.4625,36.61337925,16.726205,8.66077225,10.489315,12.0
28,I,1.15,0.9,0.2,12.68640125,6.13766675,2.08368825,4.6776675,7.0
29,F,1.0125,0.8125,0.275,9.8939755,4.252425,1.68679525,2.9766975,8.0
30,M,1.45,1.125,0.3875,31.3261975,15.54970075,6.93145275,7.7961125,11.0
31,M,1.3,1.0375,0.3875,18.597272,7.78193775,4.89028875,5.386405,13.0
32,I,1.2375,0.9375,0.25,14.75591475,6.6054335,3.86970675,3.9405805,7.0
33,M,1.5625,1.2375,0.4625,31.2694985,10.58853825,7.01650125,9.07184,12.0
34,F,1.5375,1.275,0.45,40.78075575,18.24290325,7.6827145,10.489315,10.0
35,I,1.1,0.875,0.3,12.5021295,5.65572525,2.70737725,3.67126025,9.0
36,I,1.5875,1.225,0.4625,40.7382315,16.85377775,8.7599955,11.1980525,17.0
37,I,1.3125,0.975,0.2625,16.215914,8.3064035,3.685435,4.9611625,8.0
38,I,1.025,0.775,0.2375,8.8733935,3.98310475,1.80019325,2.6932025,7.0
39,I,0.825,0.625,0.1875,4.80524025,2.19708625,0.963883,1.1623295,5.0
40,F,1.5875,1.3125,0.4375,38.838815,15.29455525,8.66077225,11.6516445,12.0
41,M,1.7,1.3625,0.5,50.632207,23.40251225,10.886208,13.324265,11.0
42,F,1.65,1.2875,0.4125,47.35783975,21.72989175,7.07320025,13.4660125,18.0
43,M,1.425,1.0875,0.425,25.58542375,10.41844125,5.3013565,7.654365,20.0
44,I,1.1125,0.875,0.2625,12.757275,4.60679375,2.5231055,3.40194,7.0
45,M,1.25,0.95,0.3375,14.004653,5.5848515,3.01922175,4.1106775,9.0
46,M,1.5375,1.2125,0.4125,31.02852775,15.37960375,6.39281225,7.93786,11.0
47,I,1.0625,0.8125,0.2625,10.716111,5.08873525,2.22543575,2.83495,7.0
48,F,1.6,1.2625,0.4,36.4291075,17.78931125,7.9662095,9.922325,10.0
49,M,1.6,1.2625,0.4125,37.37881575,17.19397175,8.37727725,9.63883,8.0
50,F,1.4875,1.1375,0.375,30.71668325,13.90542975,5.5281525,8.788345,8.0
51,F,1.4875,1.1625,0.4,31.22697425,12.11941125,5.93922025,9.922325,19.0
52,M,1.525,1.175,0.35,28.689694,16.82542825,5.783298,7.087375,9.0
53,F,1.2625,1.0,0.3,16.76872925,6.860579,3.0333965,5.2446575,10.0
54,I,0.925,0.6875,0.2375,6.42116175,2.67902775,1.31825175,1.984465,6.0
55,I,0.9625,0.7125,0.25,7.9095105,3.2601925,1.757669,2.1262125,6.0
56,M,1.525,1.15,0.3625,30.40483875,13.87708025,6.690482,7.5126175,9.0
57,F,1.3625,1.075,0.4125,21.999212,9.42620875,4.86193925,6.80388,12.0
58,F,1.525,1.2125,0.475,30.5891105,11.8217415,6.90310325,9.355335,13.0
59,I,1.125,0.875,0.2875,14.92601175,6.577084,2.90582375,3.98310475,8.0
60,F,1.5,1.225,0.3875,32.10580875,14.628342,7.07320025,9.355335,12.0
61,I,0.9875,0.7375,0.25,8.7032965,3.21766825,1.8994165,2.11203775,6.0
62,M,1.5875,1.2125,0.375,36.2535695,16.159215,7.881161,8.334753,11.0
63,F,1.575,1.25,0.375,30.94347925,13.08329425,7.030676,8.9300925,11.0
64,F,1.2875,0.975,0.3625,18.71067,8.6465975,4.40834725,4.9611625,8.0
65,I,0.6875,0.5,0.2125,2.438057,0.97805775,0.58116475,0.850485,6.0
66,M,1.1875,0.9375,0.3625,15.71979775,7.86698625,3.4302895,4.7343665,8.0
67,F,1.7625,1.325,0.5125,55.8201655,22.80717275,11.5382465,13.60776,11.0
68,M,1.2125,0.975,0.325,19.85882475,9.19941275,3.7704835,5.11708475,15.0
69,F,1.2875,1.0,0.3125,20.638436,8.40562675,4.57844425,5.386405,11.0
70,I,1.225,0.9625,0.35,17.02387475,6.0951425,5.17378375,4.9611625,8.0
71,I,0.8375,0.65,0.2,5.88252125,1.77184375,1.247378,1.984465,6.0
72,M,0.6875,0.5125,0.1625,2.7499015,1.0489315,0.38271825,0.850485,7.0
73,M,1.3625,1.0875,0.3875,20.3265915,9.85145125,4.46504625,6.80388,9.0
74,M,1.1625,0.925,0.25,12.43125575,6.293589,2.8066005,3.685435,7.0
75,I,1.0,0.7125,0.25,8.618248,3.6570855,1.7860185,2.4097075,7.0
76,M,1.0625,0.775,0.275,10.95708175,7.087375,2.22543575,2.76407625,7.0
77,M,1.5,1.1875,0.4625,32.02076025,10.98543125,7.540967,11.32562525,16.0
78,I,0.875,0.6625,0.225,5.3013565,2.2963095,1.190679,1.8427175,6.0
79,M,1.45,1.15,0.4,30.220567,14.55746825,6.406987,8.788345,10.0
80,F,1.525,1.225,0.375,29.880373,11.5382465,6.39281225,10.20582,13.0
81,M,1.55,1.25,0.475,38.215126,15.03940975,7.0023265,11.623295,17.0
82,F,1.4125,1.1125,0.375,29.1149365,11.679994,6.860579,10.489315,17.0
83,F,1.3375,1.0125,0.375,21.9708625,8.77417025,4.3941725,5.953395,18.0
84,F,1.5,1.2125,0.4125,30.0221205,13.60776,6.22271525,10.489315,10.0
85,I,0.9375,0.725,0.225,7.6827145,2.9199985,1.587572,2.551455,7.0
86,I,1.4875,1.1625,0.35,26.251637,11.92096475,5.159609,7.7961125,10.0
87,I,0.5625,0.4,0.1375,1.6726205,0.7654365,0.4252425,0.4252425,4.0
88,M,1.275,0.975,0.35,16.9813505,8.334753,3.685435,5.386405,9.0
89,I,1.175,0.9125,0.2875,13.0691195,5.726599,2.65067825,3.75630875,8.0
90,I,1.125,0.85,0.25,10.2341695,4.9611625,2.31048425,3.5436875,8.0
91,I,1.0,0.7625,0.2625,7.01650125,2.90582375,1.68679525,2.4097075,7.0
92,F,1.525,1.125,0.3875,27.555714,12.8990225,6.2652395,7.5126175,11.0
93,M,1.2,0.9375,0.2875,17.179797,6.05261825,3.3168915,4.819415,9.0
94,F,1.4375,1.125,0.35,26.2232875,12.47378,5.71242425,6.520385,8.0
95,F,1.5625,1.25,0.4,32.41765325,12.34620725,7.01650125,9.2135875,9.0
96,M,1.3125,1.1,0.375,22.5945515,9.82310175,4.72019175,6.27941425,10.0
97,M,1.375,1.0625,0.325,18.4555245,7.55514175,4.6209685,5.6699,10.0
98,I,0.425,0.3375,0.1125,0.66621325,0.2551455,0.226796,0.226796,5.0
99,I,1.375,1.075,0.325,21.0069795,9.525432,4.97533725,5.10291,9.0
100,F,1.4,1.125,0.4125,25.86891875,11.1980525,5.5281525,6.6621325,13.0
101,F,1.5625,1.2125,0.475,31.19862475,13.16834275,7.41339425,10.3475675,12.0
102,M,1.475,1.125,0.325,22.04173625,9.808927,4.876114,6.9456275,9.0
103,I,0.7625,0.575,0.2,4.86193925,1.85689225,0.97805775,1.70097,6.0
104,M,1.5625,1.2375,0.475,31.99241075,14.288148,6.4353365,11.056305,10.0
105,F,1.625,1.2625,0.4625,36.61337925,14.2030995,8.29222875,11.623295,12.0
106,I,1.175,0.9,0.325,15.74814725,5.71242425,3.061746,4.43669675,9.0
107,F,1.7625,1.325,0.475,43.70075425,15.2803805,8.43397625,15.4504775,18.0
108,I,1.1,0.85,0.275,12.3887315,5.82582225,2.87747425,3.685435,8.0
109,M,1.4875,1.1625,0.375,31.62386725,15.762322,6.633783,7.93786,8.0
110,M,1.5875,1.2625,0.4,32.16250775,14.92601175,7.6260155,9.4970825,9.0
111,I,0.925,0.6875,0.225,6.917278,2.721552,1.4458245,1.984465,5.0
112,F,1.55,1.2625,0.4125,31.9498865,14.13222575,6.747181,8.9300925,12.0
113,F,1.7125,1.3375,0.45,44.9906565,19.66037825,10.70193625,10.70193625,11.0
